author      entry        time(h)
admin           IdgEng       0.50 
admin           Induct       0.92 
admin           Iner         0.25 
admin           InerPd       3.25 
admin           InsAx        0.25 
admin           IntBP        0.25 
admin           IntBP2       1.17 
admin           IntL         0.25 
admin           IntN         0.50 
admin           IntPry       0.33 
admin           InvDer       0.25 
admin           InvMat       0.58 
admin           InvNum       2.00 
admin           Ising        0.33 
admin           JConst       0.17 
admin           JacCon       0.33 
admin           JcbDet       0.17 
admin           JierGT       0.17 
admin           KELaw1       0.25 
admin           KPNum0       0.50 
admin           Keple1       0.25 
admin           Keple2       0.33 
admin           Kirch        1.50 
admin           Konig        0.17 
admin           Kronec       0.17 
admin           LC           0.25 
admin           LPint        0.33 
admin           LPoint       1.17 
admin           LSpace       3.75 
admin           LTran1       0.17 
admin           LTrans       1.25 
admin           LVgaug       2.67 
admin           LagMul       0.33 
admin           LagPrb       0.17 
admin           Lagrng       1.00 
admin           LambSh       0.92 
admin           Lanc         0.33 
admin           LapAsm       0.42 
admin           LapEq        0.67 
admin           LapTra       0.17 
admin           Lebesg       0.25 
admin           LenGau       1.25 
admin           LepSec       1.75 
admin           LeviCi       1.33 
admin           LieAlg       0.17 
admin           Lim          0.33 
admin           LimArc       0.42 
admin           LinDep       0.33 
admin           LinEq        0.33 
admin           LinEq2       1.42 
admin           LinEqu       0.92 
admin           LinInd       0.25 
admin           LinMap       2.67 
admin           LinSph       0.42 
admin           Linux        0.67 
admin           LiouTh       0.92 
admin           Lloyd        0.17 
admin           LoGaug       0.67 
admin           Lorenz       0.25 
admin           LornzT       3.33 
admin           MBisec       0.17 
admin           MIfFor       0.17 
admin           MIthm        0.17 
admin           MQuivr       0.25 
admin           MWEq         1.00 
admin           MaInte       0.25 
admin           MagGau       0.42 
admin           MagMom       0.75 
admin           MagneF       0.42 
admin           Make         0.17 
admin           Make0        0.58 
admin           Manif        0.42 
admin           Masche       0.17 
admin           Mat          1.17 
admin           MatEig       0.67 
admin           MatFun       0.25 
admin           MatLS        1.58 
admin           MatLS2       3.25 
admin           MatOtr       0.17 
admin           MatPlt       0.25 
admin           MatRnk       1.00 
admin           MatSim       0.42 
admin           MatSpc       0.25 
admin           MatSto       0.75 
admin           MatVar       0.58 
admin           MathHi       0.25 
admin           Matlab       0.33 
admin           MaxLik       0.58 
admin           Mcoo         0.42 
admin           MecThe       0.17 
admin           MetEqv       0.25 
admin           MetalW       0.50 
admin           Metri2       2.75 
admin           Metric       3.92 
admin           MoMaMo       0.17 
admin           MolPre       0.33 
admin           MonoLi       0.17 
admin           MtPlot       0.83 
admin           MulPdf       0.83 
admin           MulSct       0.42 
